"Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly c 1 2 3"
"Frequency: Quarterly"
"Table: 34-10-0135-01 (formerly CANSIM 027-0008)"
"Release date: 2025-10-17"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Housing estimates","Housing starts",,,,,
,,"Type of unit","Total units","Single-detached","Multiples","Semi-detached","Row","Apartment and other unit type"
"Geography","Seasonal adjustment","Reference period"
"Canada",,,"Units",,,,,
,,"Q3 2017","292","172","120","31","37","52"
,,"Q4 2017","237","142","95","28","25","42"
,,"Q1 2018","121","71","50","10","6","34"
,,"Q2 2018","320","152","168","40","22","106"
,,"Q3 2018","257","179","78","18","16","44"
,,"Q4 2018","391","160","231","24","50","157"
,,"Q1 2019","105","29","76","6","3","67"
,,"Q2 2019","371","111","260","37","49","174"
,,"Q3 2019","571","124","447","58","54","335"
,,"Q4 2019","457","216","241","24","57","160"
,,"Q1 2020","169","58","111","4","33","74"
,,"Q2 2020","405","117","288","32","28","228"
,,"Q3 2020","384","167","217","36","23","158"
,,"Q4 2020","282","156","126","49","50","27"
,,"Q1 2021","143","94","49","24","25","0"
,,"Q2 2021","410","225","185","85","61","39"
,,"Q3 2021","357","213","144","65","45","34"
,,"Q4 2021","350","169","181","43","65","73"
,,"Q1 2022","184","65","119","28","39","52"
,,"Q2 2022","432","158","274","78","79","117"
,,"Q3 2022","291","192","99","22","15","62"
,,"Q4 2022","411","176","235","69","61","105"
,,"Q1 2023","123","71","52","24","22","6"
,,"Q2 2023","321","101","220","46","5","169"
,,"Q3 2023","442","132","310","36","57","217"
,,"Q4 2023","253","142","111","36","14","61"
,,"Q1 2024","394","59","335","29","19","287"
,,"Q2 2024","317","86","231","58","23","150"
,,"Q3 2024","626","223","403","60","49","294"
,,"Q4 2024","357","150","207","16","46","145"
,,"Q1 2025","423","97","326","14","23","289"
,,"Q2 2025","328","125","203","18","12","173"
,,"Q3 2025","700","186","514","58","22","434"
"Nova Scotia",,"Q1 2010","691","394","297","62","37","198"
,,"Q2 2010","1,222","666","556","121","66","369"
,,"Q3 2010","1,382","743","639","97","36","506"
,,"Q4 2010","1,014","589","425","93","61","271"
,,"Q1 2011","725","293","432","60","35","337"
,,"Q2 2011","1,163","554","609","118","28","463"
,,"Q3 2011","1,526","691","835","124","49","662"
,,"Q4 2011","1,230","507","723","116","129","478"
,,"Q1 2012","640","338","302","56","17","229"
,,"Q2 2012","1,044","658","386","134","27","225"
,,"Q3 2012","1,509","659","850","132","68","650"
,,"Q4 2012","1,329","603","726","98","106","522"
,,"Q1 2013","956","227","729","40","30","659"
,,"Q2 2013","917","442","475","88","83","304"
,,"Q3 2013","1,142","529","613","106","82","425"
,,"Q4 2013","904","441","463","98","64","301"
,,"Q1 2014","323","192","131","44","32","55"
,,"Q2 2014","679","327","352","48","66","238"
,,"Q3 2014","1,236","409","827","76","35","716"
,,"Q4 2014","818","427","391","52","46","293"
,,"Q1 2015","352","286","66","44","16","6"
,,"Q2 2015","1,517","267","1,250","47","42","1,161"
,,"Q3 2015","1,348","436","912","114","47","751"
,,"Q4 2015","608","361","247","54","24","169"
,,"Q1 2016","559","216","343","48","34","261"
,,"Q2 2016","987","462","525","66","52","407"
,,"Q3 2016","1,069","420","649","72","29","548"
,,"Q4 2016","1,152","558","594","132","29","433"
,,"Q1 2017","754","275","479","33","25","421"
,,"Q2 2017","1,149","386","763","64","27","672"
,,"Q3 2017","1,200","431","769","94","46","629"
,,"Q4 2017","881","378","503","62","28","413"
,,"Q1 2018","840","458","382","68","59","255"
,,"Q2 2018","1,173","496","677","96","49","532"
,,"Q3 2018","1,684","537","1,147","100","48","999"
,,"Q4 2018","1,089","536","553","89","88","376"
,,"Q1 2019","878","212","666","30","30","606"
,,"Q2 2019","1,289","465","824","70","74","680"
,,"Q3 2019","1,307","671","636","124","71","441"
,,"Q4 2019","1,245","572","673","86","78","509"
,,"Q1 2020","961","346","615","87","64","464"
,,"Q2 2020","711","416","295","72","54","169"
,,"Q3 2020","1,684","590","1,094","103","64","927"
,,"Q4 2020","1,509","562","947","124","78","745"
,,"Q1 2021","1,210","394","816","113","91","612"
,,"Q2 2021","1,224","398","826","63","66","697"
,,"Q3 2021","1,185","685","500","109","55","336"
,,"Q4 2021","2,356","776","1,580","120","141","1,319"
,,"Q1 2022","1,059","295","764","48","47","669"
,,"Q2 2022","1,609","516","1,093","44","81","968"
,,"Q3 2022","1,791","792","999","96","112","791"
,,"Q4 2022","1,255","646","609","60","95","454"
,,"Q1 2023","827","335","492","54","65","373"
,,"Q2 2023","1,991","549","1,442","72","105","1,265"
,,"Q3 2023","1,716","656","1,060","102","31","927"
,,"Q4 2023","2,625","559","2,066","68","117","1,881"
,,"Q1 2024","2,158","366","1,792","30","27","1,735"
,,"Q2 2024","2,360","549","1,811","123","395","1,293"
,,"Q3 2024","1,426","630","796","96","90","610"
,,"Q4 2024","1,437","534","903","135","86","682"
,,"Q1 2025","1,771","330","1,441","75","57","1,309"
,,"Q2 2025","2,717","625","2,092","105","99","1,888"
,,"Q3 2025","2,840","688","2,152","130","100","1,922"
"New Brunswick",,"Q1 2010","423","208","215","44","39","132"
,,"Q2 2010","1,180","655","525","185","61","279"
,,"Q3 2010","1,403","682","721","112","60","549"
,,"Q4 2010","1,095","523","572","134","61","377"
,,"Q1 2011","142","99","43","17","10","16"
,,"Q2 2011","962","513","449","220","36","193"
